pygame 2.0.2 (SDL 2.0.16, Python 3.9.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 1,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /lustre/home/acct-stu/stu110/Olympics/rl_trainer/models/olympics-running/ppo/run1
Episode:  45 controlled agent:  1 ; Episode Return:  -106.0 ; win rate(controlled & opponent):  0.36 0.49 ; Trained episode: 16
Episode:  46 controlled agent:  1 ; Episode Return:  -109.0 ; win rate(controlled & opponent):  0.35 0.50 ; Trained episode: 16
Episode:  47 controlled agent:  1 ; Episode Return:  4.0 ; win rate(controlled & opponent):  0.36 0.49 ; Trained episode: 16
Episode:  48 controlled agent:  1 ; Episode Return:  -292.0 ; win rate(controlled & opponent):  0.35 0.50 ; Trained episode: 17
Episode:  49 controlled agent:  1 ; Episode Return:  -193.0 ; win rate(controlled & opponent):  0.37 0.49 ; Trained episode: 17
Episode:  50 controlled agent:  1 ; Episode Return:  -163.0 ; win rate(controlled & opponent):  0.36 0.50 ; Trained episode: 18
Episode:  51 controlled agent:  1 ; Episode Return:  -105.0 ; win rate(controlled & opponent):  0.37 0.49 ; Trained episode: 18
Episode:  52 controlled agent:  1 ; Episode Return:  3.0 ; win rate(controlled & opponent):  0.38 0.48 ; Trained episode: 19
Episode:  53 controlled agent:  1 ; Episode Return:  -237.0 ; win rate(controlled & opponent):  0.38 0.49 ; Trained episode: 20
Episode:  54 controlled agent:  1 ; Episode Return:  -72.0 ; win rate(controlled & opponent):  0.37 0.50 ; Trained episode: 20
Episode:  55 controlled agent:  1 ; Episode Return:  -151.0 ; win rate(controlled & opponent):  0.38 0.49 ; Trained episode: 20
Episode:  56 controlled agent:  1 ; Episode Return:  9.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 21
Episode:  57 controlled agent:  1 ; Episode Return:  -317.0 ; win rate(controlled & opponent):  0.39 0.49 ; Trained episode: 22
Episode:  58 controlled agent:  1 ; Episode Return:  -154.0 ; win rate(controlled & opponent):  0.40 0.48 ; Trained episode: 22
Episode:  59 controlled agent:  1 ; Episode Return:  9.0 ; win rate(controlled & opponent):  0.41 0.47 ; Trained episode: 23
Episode:  60 controlled agent:  1 ; Episode Return:  -246.0 ; win rate(controlled & opponent):  0.40 0.48 ; Trained episode: 24
Episode:  61 controlled agent:  1 ; Episode Return:  -142.0 ; win rate(controlled & opponent):  0.39 0.49 ; Trained episode: 24
Episode:  62 controlled agent:  1 ; Episode Return:  -127.0 ; win rate(controlled & opponent):  0.40 0.48 ; Trained episode: 24
